bigram,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,Total
biggest global,0,0,0,0,1,0,0,1
biggest hope,0,1,0,0,0,0,0,1
biggest hurdle,0,0,0,0,1,0,0,1
biggest jump,1,0,0,0,0,0,0,1
biggest news,0,1,0,0,0,0,0,1
biggest oil,0,0,0,1,0,0,0,1
biggest polluters,0,1,0,0,0,0,0,1
biggest population,0,1,0,0,0,0,0,1
biggest sources,0,1,0,0,0,0,0,1
biggest successes,0,0,1,0,0,0,0,1
biggest tension,0,0,1,0,0,0,0,1
biggest topics,0,0,0,0,0,1,0,1
biggest towns,1,0,0,0,0,0,0,1
biggest trees,0,0,1,0,0,0,0,1
biggest wind,0,0,0,0,1,0,0,1
bike lanes,0,0,0,1,0,0,0,1
biking building,0,0,0,0,0,1,0,1
bilal ahmed,0,0,0,0,0,1,0,1
bildagentur universal,0,0,1,0,0,0,0,1
bill britt,0,0,1,0,0,0,0,1
bill called,0,0,0,1,0,0,0,1
bill gates,0,1,0,0,0,0,0,1
bill hare,0,0,0,1,0,0,0,1
bill hearings,0,0,0,1,0,0,0,1
bill includes,0,0,0,1,0,0,0,1
bill lee,0,0,0,0,0,0,1,1
bill mckibben,0,0,0,0,0,1,0,1
bill reauthorization,0,0,0,1,0,0,0,1
bill requires,0,1,0,0,0,0,0,1
bill rutan,0,0,0,0,0,0,1,1
bill senator,0,0,0,0,0,0,1,1
bill.ximena bustillo,0,0,0,0,0,0,1,1
billfish krill,0,0,0,0,0,1,0,1
billion annual,0,0,1,0,0,0,0,1
billion australian,0,1,0,0,0,0,0,1
billion canadian,0,0,0,0,0,1,0,1
billion carbon,0,0,0,1,0,0,0,1
billion children,0,1,0,0,0,0,0,1
billion climate,0,0,0,0,1,0,0,1
billion contract,0,0,0,1,0,0,0,1
billion developing,0,1,0,0,0,0,0,1
billion euro,0,0,0,1,0,0,0,1
billion facility,0,0,0,0,1,0,0,1
billion fund,0,1,0,0,0,0,0,1
billion gallons,1,0,0,0,0,0,0,1
billion grant,0,0,0,0,0,0,1,1
billion human,0,0,1,0,0,0,0,1
billion living,0,0,1,0,0,0,0,1
billion pledge,0,1,0,0,0,0,0,1
billion population,0,0,1,0,0,0,0,1
billion proposal,0,0,0,0,0,1,0,1
billion specifically,0,1,0,0,0,0,0,1
billion spent,1,0,0,0,0,0,0,1
billion willow,0,0,0,0,0,1,0,1
billionaire garibaldi,0,0,0,0,1,0,0,1
billionth resident,0,1,0,0,0,0,0,1
bills laughter,1,0,0,0,0,0,0,1
bills matrix,0,0,1,0,0,0,0,1
bills ranging,0,0,0,0,1,0,0,1
bills torchinsky,0,0,0,0,1,0,0,1
billy burke,0,0,1,0,0,0,0,1
bin ladin,0,0,0,0,0,1,0,1
bin zayed,0,0,0,1,0,0,0,1
binding framework,0,0,0,0,1,0,0,1
binding global,0,0,1,0,0,0,0,1
binding targets,0,0,0,1,0,0,0,1
binghamton university,0,1,0,0,0,0,0,1
bingler ceo,1,0,0,0,0,0,0,1
bingler's firm,1,0,0,0,0,0,0,1
bins meets,1,0,0,0,0,0,0,1
bio digester,0,1,0,0,0,0,0,1
bio fertilizer,0,1,0,0,0,0,0,1
biodiversity averbeck,0,0,0,0,0,0,1,1
biodiversity conference's,0,0,0,0,1,0,0,1
biodiversity crisis,0,0,1,0,0,0,0,1
biodiversity documents,0,0,1,0,0,0,0,1
biodiversity feeds,0,0,1,0,0,0,0,1
biodiversity nature,0,0,1,0,0,0,0,1
biodiversity projects,0,0,1,0,0,0,0,1
biodiversity protection,0,1,0,0,0,0,0,1
biodiversity resources,0,0,1,0,0,0,0,1
biodiversity sam,0,0,0,0,1,0,0,1
biodiversity scientists,0,0,1,0,0,0,0,1
biodiversity united,0,0,0,0,1,0,0,1
biographical exhibitions,0,1,0,0,0,0,0,1
biological anthropology,0,0,0,0,0,1,0,1
biological mechanisms,0,1,0,0,0,0,0,1
biologically diverse,1,0,0,0,0,0,0,1
biologically healthy,0,0,0,0,1,0,0,1
biologist simon,0,0,0,0,1,0,0,1
biologists biochemists,0,1,0,0,0,0,0,1
biologists talk,0,0,1,0,0,0,0,1
biology professor,0,0,1,0,0,0,0,1
biomass machine,0,1,0,0,0,0,0,1
biomass pellets,0,1,0,0,0,0,0,1
biomedical engineering,0,1,0,0,0,0,0,1
biopsied directly,0,1,0,0,0,0,0,1
biotech firm,0,0,0,1,0,0,0,1
bipartisan congressional,0,0,0,0,0,1,0,1
bipartisan efforts,0,0,0,0,1,0,0,1
birch solar,0,0,0,0,1,0,0,1
bird flu,0,0,0,0,1,0,0,1
bird makes,1,0,0,0,0,0,0,1
birds abigail,0,0,0,0,0,1,0,1
birth rates,0,1,0,0,0,0,0,1
birthplace thousands,0,1,0,0,0,0,0,1
bit benton,0,0,0,0,1,0,0,1
bit disappointed,0,0,0,1,0,0,0,1
bit drier,0,0,0,0,0,0,1,1
bit unusual,0,0,1,0,0,0,0,1
bit warmer,0,0,0,0,0,0,1,1
bit worse,0,0,0,0,0,0,1,1
bitter gourds,0,0,0,0,0,1,0,1
bitton's neighborhood,0,0,0,0,1,0,0,1
black baseball,0,1,0,0,0,0,0,1
black bicycle,0,0,0,1,0,0,0,1
black community,0,0,0,1,0,0,0,1
black granite,0,1,0,0,0,0,0,1
black hawk,0,0,0,0,0,1,0,1
black lung,1,0,0,0,0,0,0,1
black mesh,0,0,0,0,0,1,0,1
black neighborhood,1,0,0,0,0,0,0,1
black objects,0,0,0,0,0,0,1,1
black robe,1,0,0,0,0,0,0,1
black scar,0,1,0,0,0,0,0,1
black tea,1,0,0,0,0,0,0,1
black town,0,0,0,0,0,1,0,1
blackboard holding,0,0,0,1,0,0,0,1
blackboard scrawled,1,0,0,0,0,0,0,1
blackened crater,0,0,1,0,0,0,0,1
blackout analysts,0,0,0,0,1,0,0,1
blackout disaster,0,0,0,0,1,0,0,1
blackouts gripped,0,0,0,0,1,0,0,1
blacktop purple,0,0,0,1,0,0,0,1
blacktop streets,0,0,0,1,0,0,0,1
blade seasonal,0,0,0,0,0,1,0,1
bland joins,0,0,0,1,0,0,0,1
blankets socks,0,0,0,0,1,0,0,1
blast hitting,0,0,1,0,0,0,0,1
blasted past,1,0,0,0,0,0,0,1
blasting debris,0,0,0,1,0,0,0,1
blazing speed,0,1,0,0,0,0,0,1
bleachers replaced,0,1,0,0,0,0,0,1
bleaching coral,0,1,0,0,0,0,0,1
bleak headlines,0,1,0,0,0,0,0,1
bleaker suggested,0,0,1,0,0,0,0,1
bleeding muthogo,1,0,0,0,0,0,0,1
bleeding shock,0,0,0,0,0,1,0,1
blend cultivated,0,1,0,0,0,0,0,1
blended approach,0,1,0,0,0,0,0,1
blended finance,0,1,0,0,0,0,0,1
bless selma,0,0,0,1,0,0,0,1
blessed trinette,0,0,0,0,0,1,0,1
blighted empty,0,0,0,0,1,0,0,1
blinken's trip,0,0,0,0,1,0,0,1
blinken's visit,0,0,0,0,1,0,0,1
blips related,1,0,0,0,0,0,0,1
blizzard warning,0,0,0,0,1,0,0,1
blizzard warnings,0,0,0,0,1,0,0,1
blm managed,0,0,0,0,1,0,0,1
blm published,0,0,0,0,0,1,0,1
blm's revised,0,0,0,0,0,1,0,1
bloc's emissions,0,0,0,0,0,1,0,1
block basement,0,0,0,0,0,0,1,1
block municipalities,0,0,0,1,0,0,0,1
block satellites,0,0,0,1,0,0,0,1
block willow,0,0,0,0,0,1,0,1
blocked language,0,0,1,0,0,0,0,1
blocking production,1,0,0,0,0,0,0,1
blocking streets,0,1,0,0,0,0,0,1
blocks drilling,0,0,0,0,0,1,0,1
blonde girl,1,0,0,0,0,0,0,1
blood play,0,0,0,0,1,0,0,1
blood secretions,0,0,0,0,0,1,0,1
bloody diarrhea,0,0,0,0,0,1,0,1
bloomberg article,0,0,0,0,0,1,0,1
bloomberg opinion,0,0,0,0,0,1,0,1
bloombergnef roughly,0,1,0,0,0,0,0,1
blowing dust,0,0,0,0,1,0,0,1
blue dots,0,0,0,1,0,0,0,1
blue eyes,0,1,0,0,0,0,0,1
blue grass,0,1,0,0,0,0,0,1
blue green,0,0,0,1,0,0,0,1
blue pacific,0,1,0,0,0,0,0,1
blue plastic,1,0,0,0,0,0,0,1
blue recycling,1,0,0,0,0,0,0,1
blue tent,1,0,0,0,0,0,0,1
blue turquoise,0,1,0,0,0,0,0,1
blue water,0,0,0,1,0,0,0,1
blunt chest,0,0,0,1,0,0,0,1
bluntly speaking,0,0,1,0,0,0,0,1
board approach,0,0,0,0,0,0,1,1
board flooding,0,0,0,0,0,1,0,1
board proposed,1,0,0,0,0,0,0,1
board separately,0,0,0,1,0,0,0,1
boasted clients,0,0,1,0,0,0,0,1
boat bus,1,0,0,0,0,0,0,1
boat captain,0,0,0,0,1,0,0,1
boat carrying,0,1,0,0,0,0,0,1
boat experienced,0,0,0,0,1,0,0,1
boat harbor,0,1,0,0,0,0,0,1
boat helping,1,0,0,0,0,0,0,1
boat jostled,1,0,0,0,0,0,0,1
boat journey,0,0,0,0,1,0,0,1
boat ramp,0,1,0,0,0,0,0,1
boat rides,1,0,0,0,0,0,0,1
boat services,1,0,0,0,0,0,0,1
boat strewn,1,0,0,0,0,0,0,1
boat tours,0,1,0,0,0,0,0,1
boat traffic,0,0,0,0,1,0,0,1
boats called,0,0,0,0,1,0,0,1
boats captained,1,0,0,0,0,0,0,1
boats houses,1,0,0,0,0,0,0,1
boats shallow,1,0,0,0,0,0,0,1
boats snowmachines,0,0,0,0,0,1,0,1
bob follansbee,0,0,0,0,0,1,0,1
bob graham,1,0,0,0,0,0,0,1
bob henson,0,0,0,1,0,0,0,1
bob martinez,1,0,0,0,0,0,0,1
bob ramorino,0,0,1,0,0,0,0,1
bobsled chute,0,0,0,1,0,0,0,1
boca raton,0,1,0,0,0,0,0,1
boda bodas,1,0,0,0,0,0,0,1
bodas motorcycle,1,0,0,0,0,0,0,1
bodies begum,0,0,0,0,0,1,0,1
bodies pierre,0,0,1,0,0,0,0,1
bodily fluids,0,0,0,0,0,1,0,1
body aches,0,0,0,0,0,1,0,1
body noaa,0,0,0,0,1,0,0,1
body safoora,1,0,0,0,0,0,0,1
body's organs,0,0,0,0,0,1,0,1
boil water,1,0,0,0,0,0,0,1
boiled egg,0,0,0,1,0,0,0,1
boilers alongside,1,0,0,0,0,0,0,1
boise concrete,1,0,0,0,0,0,0,1
bold ambitious,0,1,0,0,0,0,0,1
bolivar peninsula,0,0,0,0,0,0,1,1
bolsonaro government,0,1,0,0,0,0,0,1
bolsonaro john,0,1,0,0,0,0,0,1
bolsonaro lula,0,0,0,0,0,0,1,1
bolster national,0,0,0,0,0,1,0,1
bolster tree,0,0,1,0,0,0,0,1
bolster water,0,0,0,0,0,1,0,1
bolten told,0,0,1,0,0,0,0,1
bomb cyclone,0,0,0,1,0,0,0,1
bone dry,0,0,1,0,0,0,0,1
bonnie jo,0,0,0,0,0,1,0,1
bonus episodes,0,0,1,0,0,0,0,1
bony fish,0,0,0,0,0,1,0,1
book published,0,0,0,0,0,1,0,1
book sort,0,0,0,0,1,0,0,1
booming central,0,0,0,0,1,0,0,1
booming economy,0,0,0,0,1,0,0,1
booming urban,0,0,0,1,0,0,0,1
boost efforts,0,0,0,0,1,0,0,1
boost investments,0,1,0,0,0,0,0,1
boost national,0,0,0,0,0,1,0,1
boost oil,0,1,0,0,0,0,0,1
boosted heavy,1,0,0,0,0,0,0,1
boosting oil,0,0,0,0,0,1,0,1
boosting production,1,0,0,0,0,0,0,1
boosting regional,0,0,0,0,0,1,0,1
boots pirani,0,1,0,0,0,0,0,1
border communities,0,1,0,0,0,0,0,1
border crossing,0,1,0,0,0,0,0,1
border fear,0,0,1,0,0,0,0,1
border fence,0,1,0,0,0,0,0,1
border hamed,0,0,1,0,0,0,0,1
border illegally,0,1,0,0,0,0,0,1
border management,0,0,1,0,0,0,0,1
border movement,1,0,0,0,0,0,0,1
border policy,0,0,1,0,0,0,0,1
border remains,0,0,1,0,0,0,0,1
border smashed,0,0,0,1,0,0,0,1
border yeah,0,0,1,0,0,0,0,1
border zone,0,1,0,0,0,0,0,1
borders freely,0,1,0,0,0,0,0,1
borders outright,1,0,0,0,0,0,0,1
borders yellen,1,0,0,0,0,0,0,1
boris worm,0,0,0,0,1,0,0,1
born east,0,1,0,0,0,0,0,1
born primed,0,0,0,1,0,0,0,1
borrowed generator,0,0,0,0,1,0,0,1
bosch afp,0,1,0,0,0,0,0,1
boston suburb,0,0,0,0,0,1,0,1
boston warming,0,0,0,0,1,0,0,1
bottle bills,1,0,0,0,0,0,0,1
bottles collected,1,0,0,0,0,0,0,1
bottles people,1,0,0,0,0,0,0,1
bou soppekou,1,0,0,0,0,0,0,1
bought flood,0,0,0,1,0,0,0,1
boulder environmental,0,0,0,0,0,0,1,1
boulder novelty,0,0,0,1,0,0,0,1
bounce cool,0,0,1,0,0,0,0,1
bouncing balls,0,0,0,1,0,0,0,1
bountiful crop,0,1,0,0,0,0,0,1
boutique outfit,0,0,0,0,1,0,0,1
bouys afp,0,0,0,0,0,1,0,1
bovine serum,0,1,0,0,0,0,0,1
bowls cutlery,0,0,0,1,0,0,0,1
box trucks,0,0,0,0,0,1,0,1
box tucked,0,1,0,0,0,0,0,1
boxes heaped,1,0,0,0,0,0,0,1
boxes wooden,0,0,0,1,0,0,0,1
boy nutritional,1,0,0,0,0,0,0,1
boy's mother,1,0,0,0,0,0,0,1
boyfriend lived,0,0,0,0,0,0,1,1
boykoff told,0,0,0,0,0,0,1,1
boys raced,0,1,0,0,0,0,0,1
boys rosensweig,0,1,0,0,0,0,0,1
bp oil,0,1,0,0,0,0,0,1
bp refinery,0,0,0,0,1,0,0,1
bp's stock,0,0,0,0,1,0,0,1
brad martin,1,0,0,0,0,0,0,1
brad pitt,0,0,1,0,0,0,0,1
brad smith,0,1,0,0,0,0,0,1
brad udall,0,0,0,1,0,0,0,1
brad wilson,0,0,0,0,1,0,0,1
bradley fighting,0,0,0,1,0,0,0,1
brady npr,0,0,0,0,1,0,0,1
brady seals,0,0,0,1,0,0,0,1
brady talked,0,0,0,1,0,0,0,1
brain regions,0,0,0,0,1,0,0,1
brakes harder,0,0,0,0,0,1,0,1
branding pressure,0,0,0,0,0,1,0,1
brandon ap,0,1,0,0,0,0,0,1
brandon bell,0,1,0,0,0,0,0,1
brands ranging,0,1,0,0,0,0,0,1
brasch reports,0,1,0,0,0,0,0,1
brave people,0,1,0,0,0,0,0,1
bravely tackle,0,0,1,0,0,0,0,1
brazil deforestation,0,0,0,0,0,0,1,1
brazil eyder,0,0,0,0,1,0,0,1
brazil politically,0,1,0,0,0,0,0,1
brazil reached,0,1,0,0,0,0,0,1
brazil speaking,0,0,1,0,0,0,0,1
brazil's emissions,0,0,0,0,1,0,0,1
brazil's president,0,1,0,0,0,0,0,1
brazil's presidential,0,1,0,0,0,0,0,1
brazilian amazon,0,0,0,0,0,0,1,1
brazilian city,0,1,0,0,0,0,0,1
brazilian green,0,1,0,0,0,0,0,1
breached levees,0,0,0,0,0,1,0,1
bread ostensibly,0,0,0,0,0,1,0,1
breadbasket regions,0,0,1,0,0,0,0,1
break forever,0,1,0,0,0,0,0,1
break kenya,0,1,0,0,0,0,0,1
break mankani,1,0,0,0,0,0,0,1
break top,0,0,0,0,1,0,0,1
breaking ceremony,0,0,0,0,1,0,0,1
breaking point.i,0,0,0,0,1,0,0,1
breaking record,0,0,0,0,1,0,0,1
breast brian,0,1,0,0,0,0,0,1
breast minus,0,1,0,0,0,0,0,1
breath hoping,0,0,0,0,0,1,0,1
breathe wetlands,0,0,1,0,0,0,0,1
breathtaking conflict,0,0,0,1,0,0,0,1
brehman ap,0,0,0,0,1,0,0,1
brenda huerta,0,0,0,0,0,1,0,1
brendan smialowski,0,1,0,0,0,0,0,1
brett fleck,0,0,0,0,1,0,0,1
brett kavanaugh,0,0,0,0,0,1,0,1
brew coffee,0,0,0,1,0,0,0,1
brew meat,0,1,0,0,0,0,0,1
brewery style,0,1,0,0,0,0,0,1
brewing system,0,0,0,1,0,0,0,1
brews strong,0,0,0,0,0,0,1,1
brexit margherita,0,0,0,0,0,1,0,1
brian burgess,0,0,1,0,0,0,0,1
brian humphrey,0,0,0,0,1,0,0,1
brian inganga,1,0,0,0,0,0,0,1
brian moench,0,0,0,0,1,0,0,1
brian o'donnell,0,0,1,0,0,0,0,1
brian rees,0,0,0,0,0,0,1,1
brian wheeler,0,0,0,0,1,0,0,1
briars scrape,1,0,0,0,0,0,0,1
bric dollars,1,0,0,0,0,0,0,1
bric program,1,0,0,0,0,0,0,1
brick houses,0,0,0,1,0,0,0,1
brick phone,0,0,0,0,0,1,0,1
brick phones,0,0,0,0,0,1,0,1
brick plant,1,0,0,0,0,0,0,1
brick school,0,0,0,1,0,0,0,1
brickwork depicting,1,0,0,0,0,0,0,1
bridge crossing,0,0,0,1,0,0,0,1
bridge fuel,0,0,1,0,0,0,0,1
bridgeville delaware,0,0,0,0,0,0,1,1
briefing yesterday,0,0,0,0,0,1,0,1
briefly closed,1,0,0,0,0,0,0,1
briefly cut,1,0,0,0,0,0,0,1
bright future,1,0,0,0,0,0,0,1
bright geometric,1,0,0,0,0,0,0,1
bright orange,0,0,0,0,1,0,0,1
bright red,0,0,0,0,1,0,0,1
bright spot,0,0,0,0,1,0,0,1
bright white,0,0,0,1,0,0,0,1
brimmed wool,0,1,0,0,0,0,0,1
brine flies,0,0,0,0,1,0,0,1
bring demise,0,0,0,0,0,1,0,1
bring heavy,0,0,0,0,1,0,0,1
bring meat,0,1,0,0,0,0,0,1
bring rain,0,0,0,0,0,1,0,1
bring unsheltered,0,0,0,0,1,0,0,1
bring upside,0,1,0,0,0,0,0,1
bring widespread,0,0,0,0,1,0,0,1
bringing damaged,0,1,0,0,0,0,0,1
bringing heavy,0,0,0,1,0,0,0,1
bringing life,0,0,0,0,0,1,0,1
bringing snow,0,0,0,0,0,1,0,1
bringing tomatoes,0,0,0,0,0,1,0,1
brings communities,0,1,0,0,0,0,0,1
brings renewed,0,0,0,1,0,0,0,1
brink municipalities,1,0,0,0,0,0,0,1
brit hanson,0,0,1,0,0,0,0,1
britain tidy,0,0,0,1,0,0,0,1
britain's alok,0,0,0,1,0,0,0,1
british activist,0,1,0,0,0,0,0,1
british authorities,0,0,0,0,0,1,0,1
british climate,0,0,0,0,0,1,0,1
british homes,0,1,0,0,0,0,0,1
british medical,0,1,0,0,0,0,0,1
british nonprofit,0,0,0,1,0,0,0,1
british petroleum,0,1,0,0,0,0,0,1
british prime,0,1,0,0,0,0,0,1
britney schmidt,0,0,0,0,1,0,0,1
britt affirms,0,0,1,0,0,0,0,1
britt alabama,0,0,1,0,0,0,0,1
britt cast,0,0,1,0,0,0,0,1
britt wrote,0,0,1,0,0,0,0,1
bro hey,1,0,0,0,0,0,0,1
broad based,0,0,0,0,0,1,0,1
broad climate,0,1,0,0,0,0,0,1
broad international,0,0,1,0,0,0,0,1
broad range,0,0,0,0,0,1,0,1
broad ruling,0,0,0,0,0,1,0,1
broad street,0,0,0,1,0,0,0,1
broad themes,1,0,0,0,0,0,0,1
broadcaster deutschlandfunk,0,0,1,0,0,0,0,1
broadcaster pat,0,0,0,0,0,1,0,1
broadcaster zdf,0,0,1,0,0,0,0,1
broadcasting corp,0,1,0,0,0,0,0,1
broadcasting's conrad,0,0,0,0,1,0,0,1
broader agenda,0,0,0,0,1,0,0,1
broader budget,0,0,0,0,0,0,1,1
broader effort,0,1,0,0,0,0,0,1
broader goal,0,0,1,0,0,0,0,1
broader region,0,0,0,0,0,1,0,1
broader representation,0,0,0,0,0,1,0,1
broader scientific,0,0,0,1,0,0,0,1
broader view,0,1,0,0,0,0,0,1
broadly ryan,0,1,0,0,0,0,0,1
broadly snow,0,0,1,0,0,0,0,1
broccoli economist,0,0,0,0,0,1,0,1
broke flooded,0,0,0,0,0,1,0,1
broke ground,0,0,0,0,0,1,0,1
broke levees,0,0,0,1,0,0,0,1
broken levees,0,0,0,0,0,1,0,1
broken link,0,1,0,0,0,0,0,1
broken residences,0,0,0,1,0,0,0,1
broken skin,0,0,0,0,0,1,0,1
broker peace,0,1,0,0,0,0,0,1
brokers factories,0,0,0,0,0,1,0,1
bronte wittpenn,0,1,0,0,0,0,0,1
brooklyn bridge,0,0,0,0,1,0,0,1
brother decided,0,1,0,0,0,0,0,1
brother erick,0,0,0,0,1,0,0,1
brother manning,1,0,0,0,0,0,0,1
brother's village,0,0,1,0,0,0,0,1
brothers now.did,0,1,0,0,0,0,0,1
brothers rest,0,1,0,0,0,0,0,1
brought green,0,0,0,1,0,0,0,1
brought heavy,0,0,0,1,0,0,0,1
brought shirtsleeve,0,0,0,1,0,0,0,1
brown chairs,0,1,0,0,0,0,0,1
brown chapel's,0,0,0,1,0,0,0,1
brown rice,0,1,0,0,0,0,0,1
brown sludge,1,0,0,0,0,0,0,1
brown university,0,0,0,1,0,0,0,1
brown water,0,0,0,0,0,1,0,1
brown zemela,1,0,0,0,0,0,0,1
brown's record,1,0,0,0,0,0,0,1
bruce devine,0,0,0,0,1,0,0,1
bruce friedrich,0,1,0,0,0,0,0,1
bruce leads,0,0,0,0,1,0,0,1
bruno oberle,0,1,0,0,0,0,0,1
brush dipped,0,0,1,0,0,0,0,1
brushy fork,1,0,0,0,0,0,0,1
brutal heat,0,0,0,0,0,1,0,1
brutal system,0,0,0,1,0,0,0,1
bryan choctaw,0,1,0,0,0,0,0,1
bryan hill's,0,1,0,0,0,0,0,1
bryant air,0,0,0,0,0,0,1,1
bryce gray,1,0,0,0,0,0,0,1
bubble bursting,1,0,0,0,0,0,0,1
bubbling aquarium,0,0,0,1,0,0,0,1
bucharest romania,0,0,0,1,0,0,0,1
buchele kut,0,0,0,0,1,0,0,1
bucket chain,0,0,1,0,0,0,0,1
bucket list,0,0,0,0,1,0,0,1
buckeye mayor,0,0,0,0,1,0,0,1
buckeye's growth,0,0,0,0,1,0,0,1
buckling roads,0,1,0,0,0,0,0,1
buddy television,0,1,0,0,0,0,0,1
budge cut,1,0,0,0,0,0,0,1
budget bill,0,0,0,1,0,0,0,1
budget deficits,1,0,0,0,0,0,0,1
budget items,0,1,0,0,0,0,0,1
budget proposal,0,0,0,0,0,0,1,1
budget request,0,1,0,0,0,0,0,1
budgets carbon,0,1,0,0,0,0,0,1
buffalo ny,0,0,0,1,0,0,0,1
bug late,0,0,0,0,0,1,0,1
bugs conservative,0,0,0,0,0,1,0,1
bugs lesnik,0,0,0,0,0,1,0,1
bugs proliferated,0,0,0,0,0,1,0,1
bugs set,0,0,0,0,0,1,0,1
build coal,0,0,0,0,1,0,0,1
build consensus,0,0,0,1,0,0,0,1
build existing,0,0,0,1,0,0,0,1
build hydrogen,0,0,1,0,0,0,0,1
build indonesia's,0,0,0,0,1,0,0,1
build models,0,1,0,0,0,0,0,1
build natural,0,0,1,0,0,0,0,1
build piers,0,1,0,0,0,0,0,1
build pipelines,0,0,0,0,1,0,0,1
build reefs,1,0,0,0,0,0,0,1
build roads,0,0,0,0,0,1,0,1
build social,0,1,0,0,0,0,0,1
build solar,0,0,0,0,1,0,0,1
build valeti,0,1,0,0,0,0,0,1
build water,0,0,0,0,0,1,0,1
building advocate,0,1,0,0,0,0,0,1
building blocks,0,0,0,0,0,1,0,1
building cleaner,0,0,0,0,0,1,0,1
building collapse,0,1,0,0,0,0,0,1
building dams,0,0,0,0,0,1,0,1
building doorways,0,1,0,0,0,0,0,1
building flood,0,1,0,0,0,0,0,1
building flooded,0,1,0,0,0,0,0,1
building fossil,0,0,1,0,0,0,0,1
building gas,0,1,0,0,0,0,0,1
building hold,0,0,0,1,0,0,0,1
building homes,0,0,0,0,0,1,0,1
building industry,0,1,0,0,0,0,0,1
building infrastructure,0,0,0,1,0,0,0,1
building instruments,0,1,0,0,0,0,0,1
building manufacturing,0,0,0,0,0,1,0,1
building myer,0,1,0,0,0,0,0,1
building natural,0,0,1,0,0,0,0,1
building pipelines,0,0,0,0,0,1,0,1
building pond,0,0,0,0,0,1,0,1
building putting,0,1,0,0,0,0,0,1
building resilient,1,0,0,0,0,0,0,1
building scenes,0,1,0,0,0,0,0,1
building solar,0,1,0,0,0,0,0,1
building vehicles,0,0,0,0,1,0,0,1
building water,0,1,0,0,0,0,0,1
building's detailed,1,0,0,0,0,0,0,1
buildings buckling,0,1,0,0,0,0,0,1
buildings fallen,1,0,0,0,0,0,0,1
buildings including,1,0,0,0,0,0,0,1
buildings monschauer,0,0,0,0,0,0,1,1
buildings orange,0,1,0,0,0,0,0,1
buildings thornton,1,0,0,0,0,0,0,1
buildings wrote,1,0,0,0,0,0,0,1
built adhiguna,0,0,0,0,1,0,0,1
built environment,0,0,0,1,0,0,0,1
built ultimately,0,0,0,0,1,0,0,1
bukaty ap,0,0,0,0,1,0,0,1
bulbous bluegrass,0,0,0,0,1,0,0,1
bulging shopping,1,0,0,0,0,0,0,1
bulky nokia,0,0,0,0,0,1,0,1
bull toronto,0,1,0,0,0,0,0,1
bulldozers backhoes,1,0,0,0,0,0,0,1
bulldozers focused,0,1,0,0,0,0,0,1
bulldozers plowed,0,0,0,0,0,0,1,1
bumpy road,0,1,0,0,0,0,0,1
bunk beds,0,0,0,0,0,1,0,1
buontha ap,0,1,0,0,0,0,0,1
buoys offshore,0,0,0,0,0,1,0,1
burbank airport,0,0,0,0,1,0,0,1
burbank orlando,0,1,0,0,0,0,0,1
burden residents,0,0,0,0,0,1,0,1
bureaucratic morass,0,1,0,0,0,0,0,1
burgeoning population,0,1,0,0,0,0,0,1
burger adds,0,0,0,0,1,0,0,1
burger executive,0,0,0,0,1,0,0,1
burger obsessed,0,1,0,0,0,0,0,1
burgess write,0,0,1,0,0,0,0,1
burgess writes,0,0,1,0,0,0,0,1
burgess wrote,0,0,1,0,0,0,0,1
burial ceremonies,0,0,0,0,0,1,0,1
buried bodies,1,0,0,0,0,0,0,1
buried deep,1,0,0,0,0,0,0,1
burn additional,1,0,0,0,0,0,0,1
burn fossil,0,1,0,0,0,0,0,1
burn gas,0,0,0,1,0,0,0,1
burned coal,1,0,0,0,0,0,0,1
burned trees,0,0,0,0,0,0,1,1
burner consumed,0,0,0,0,1,0,0,1
burner designs,0,0,0,0,1,0,0,1
burner development,0,0,0,0,1,0,0,1
burner kitchen,0,0,0,0,1,0,0,1
burner thermo,0,0,0,0,1,0,0,1
burners cleaner,0,0,0,1,0,0,0,1
burners cost,0,0,0,0,1,0,0,1
burners emit,0,0,0,1,0,0,0,1
burning cow,0,1,0,0,0,0,0,1
burning heat,0,0,0,0,0,0,1,1
burning industrial,1,0,0,0,0,0,0,1
burning natural,0,0,0,0,1,0,0,1
burning oil,1,0,0,0,0,0,0,1
burning peatlands,0,0,0,0,0,0,1,1
burning stoves,0,0,0,1,0,0,0,1
burns dried,0,0,0,0,0,1,0,1
burns extrapolations,0,0,0,0,0,0,1,1
burns fossil,0,0,0,0,1,0,0,1
burns found,0,0,0,0,0,0,1,1
burns natural,1,0,0,0,0,0,0,1
burns told,0,0,0,0,0,0,1,1
bus investments,0,0,0,0,0,0,1,1
bus service,1,0,0,0,0,0,0,1
bus stops,0,0,0,0,1,0,0,1
buses curriculum,0,1,0,0,0,0,0,1
buses shoved,0,1,0,0,0,0,0,1
bushmeat diet,0,0,0,0,0,1,0,1
business decisions,0,1,0,0,0,0,0,1
business investment,0,0,0,0,0,1,0,1
business leaders,0,0,1,0,0,0,0,1
business model,0,0,0,0,1,0,0,1
business plans,0,0,1,0,0,0,0,1
business stories,0,1,0,0,0,0,0,1
business ventures,0,1,0,0,0,0,0,1
business.for mike,0,1,0,0,0,0,0,1
businesses bob,0,0,0,0,0,1,0,1
businesses damaged,0,1,0,0,0,0,0,1
